_id,geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
79,04000US11,District of Columbia,2015,17.319016,0.82203096,,,,,,,26.574526,1.4159739,11.57026,2.3869755,18.009996,0.96440995,,,6.9249959,0.68131167,23.03801,1.3270305,,,,,,,7.1341305,0.65131599
80,04000US11,District of Columbia,2016,18.575968,0.8524785,,,,,,,27.851313,1.6038064,17.792097,2.7630496,18.673311,1.0179019,,,7.2407541,0.75200206,24.934805,1.393963,21.381588,4.3955994,,,,,7.8652763,0.75204122
81,04000US11,District of Columbia,2017,16.638361,0.65648824,,,,,,,25.779995,1.3063279,13.137256,2.2993083,17.076237,0.79254043,,,6.2204213,0.52959657,22.510159,1.0663222,,,,,,,6.629981,0.5465048
82,04000US12,Florida,2009,14.94045,0.13330425,23.951513,4.2683125,,,11.965501,0.95724922,26.835108,0.63173544,19.270966,0.34564441,13.741999,0.19525824,,,10.532648,0.12822665,21.392427,0.37801626,21.700703,1.2603854,19.555489,0.84318268,16.458897,0.91520834,12.361212,0.13743101
83,04000US12,Florida,2010,16.528601,0.13713251,20.644249,3.3977647,,,13.238114,0.74508542,28.555462,0.51234436,21.780891,0.42339048,14.982751,0.21689186,,,11.464362,0.13079262,23.494011,0.37141338,27.964092,1.2358652,24.291574,0.84095883,19.773254,1.0192821,13.688673,0.13498853
84,04000US12,Florida,2011,17.013973,0.17294049,25.585703,4.163835,,,12.5608,0.88567847,29.592922,0.53150672,22.690512,0.53192985,15.31717,0.27523822,,,11.501621,0.18574058,24.461269,0.47759014,30.121494,1.4583372,25.721487,0.99724519,20.328407,1.2411834,13.986858,0.19377194
85,04000US12,Florida,2012,17.124043,0.15757315,24.156103,3.164994,,,12.769368,1.1205726,29.00326,0.51615262,22.381916,0.41125369,15.521176,0.2408466,,,11.853368,0.14440309,24.074715,0.41175956,27.700165,1.4164927,25.118088,0.89139056,22.523602,1.0445585,14.292473,0.13624775
86,04000US12,Florida,2013,17.006489,0.19408999,22.597977,3.04072,,,13.211109,0.81478494,28.114922,0.53022289,22.118475,0.48780376,15.410233,0.29679367,,,11.918426,0.17105372,23.570705,0.4960117,25.479057,1.394156,22.708055,0.88928181,19.745422,1.0517359,14.461778,0.20818913
87,04000US12,Florida,2014,16.49502,0.18631014,23.266075,3.0580368,,,13.102234,0.77339256,26.870533,0.534172,21.718977,0.36124963,14.823326,0.27176413,,,11.501213,0.18005373,22.763779,0.47690877,25.47998,1.2505125,22.453487,0.80032849,19.296827,0.95255691,14.030353,0.19037727
88,04000US12,Florida,2015,15.702154,0.14491701,16.193157,2.4649003,,,12.255166,0.81852907,25.153387,0.51104176,20.565948,0.43135652,14.112507,0.23844808,,,11.029751,0.18139055,21.460251,0.39304435,21.777082,1.2385682,19.495119,0.78562868,17.055679,0.93248487,13.585165,0.15740883
89,04000US12,Florida,2016,14.726668,0.14591573,19.363302,2.1405454,,,12.336504,0.97762394,22.779659,0.48616546,18.87867,0.37217787,13.341091,0.23088229,,,10.585571,0.13052595,19.736416,0.35886928,20.348722,1.2372724,19.366442,0.83711374,18.304613,1.1120831,12.784698,0.14263324
90,04000US12,Florida,2017,14.047239,0.17088169,16.567039,1.7451273,,,12.540108,0.75858885,21.886946,0.55756003,17.67646,0.38391104,12.78767,0.26598051,,,10.055943,0.16575766,18.706898,0.41775531,16.905531,1.0893252,17.149206,0.72163403,17.416645,0.93034059,12.195093,0.17290565
